model_name,occupation,dp_gap,eo_tpr_gap,eo_fpr_gap
pythia_1.4b_fewshot (Unmasked),filmmaker,0.004295918385600488,0.0928571428571428,0.00093921929309486
pythia_1.4b_fewshot (Unmasked),dietitian,0.027541997678075344,0.10344827586206895,0.01041552325964304
pythia_1.4b_fewshot (Unmasked),comedian,0.007205479599083394,0.3647058823529411,0.0006246096189881324
pythia_160m_fewshot (Unmasked),nurse,0.01685363109303977,0.13740458015267176,0.004345523581135092
pythia_160m_fewshot (Unmasked),photographer,0.013475391712982919,0.08410548823948677,0.002624923125796744
pythia_160m_fewshot (Unmasked),professor,0.04686334453748442,0.09659101610321125,0.01922933034044145
pythia_160m_fewshot (Unmasked),architect,0.008336031512345734,0.1307017543859649,0.0023837397118227277
pythia_160m_fewshot (Unmasked),journalist,0.07688110779776719,0.020514490394008433,0.0754012652219524
pythia_160m_fewshot (Unmasked),teacher,0.007598131727186375,0.03688311688311688,0.004103135507076392
pythia_160m_fewshot (Unmasked),physician,0.01005153670984349,0.1812246474792351,0.0031408487548838376
pythia_160m_fewshot (Unmasked),attorney,0.0035580186004411287,0.05304320403658154,0.0012901958460711485
pythia_160m_fewshot (Unmasked),psychologist,0.00486924415806976,0.02597402597402597,0.004769377823778415
pythia_160m_fewshot (Unmasked),dentist,0.021058318232475105,0.20075757575757575,0.0011817765236475895
pythia_160m_fewshot (Unmasked),model,0.011906572048535027,0.06888888888888889,0.015843220473425568
pythia_160m_fewshot (Unmasked),software_engineer,0.0026376563229514576,0.02127659574468085,0.0023674555870609355
pythia_160m_fewshot (Unmasked),surgeon,0.0023666458564020184,0.015517241379310348,0.0013063357282821686
pythia_160m_fewshot (Unmasked),poet,0.0040553183344394375,0.06,0.0030683330579939078
pythia_160m_fewshot (Unmasked),composer,0.00277360876821718,0.05079365079365078,0.0005350917592648399
pythia_160m_fewshot (Unmasked),painter,0.0006332521792640324,0.01831896551724138,0.0008476795761881727
pythia_160m_fewshot (Unmasked),accountant,0.000723589001447178,0.08333333333333333,0.0
pythia_160m_fewshot (Unmasked),filmmaker,0.0011457571209565328,0.1142857142857143,0.00010250245124640198
pythia_160m_fewshot (Unmasked),dietitian,0.00304551365874863,0.0,0.0033853995155613114
pythia_160m_fewshot (Unmasked),comedian,0.0001055420298773387,0.2,0.0006246096189881324
pythia_410m_zeroshot (Unmasked),nurse,0.08407227661313837,0.05640373197625104,0.02033273381294964
pythia_410m_zeroshot (Unmasked),photographer,0.025594836669236648,0.03955808980755526,0.004322773906349912
pythia_410m_zeroshot (Unmasked),professor,0.11783499308610261,0.29910537715415764,0.02897119341563786
pythia_410m_zeroshot (Unmasked),architect,0.07553678855280412,0.08245614035087723,0.058956353358567755
pythia_410m_zeroshot (Unmasked),journalist,0.0252987823311909,0.024747639205470517,0.017737837395844558
pythia_410m_zeroshot (Unmasked),teacher,0.21971882887701494,0.227012987012987,0.20231693252013447
pythia_410m_zeroshot (Unmasked),physician,0.03588786785422318,0.1468804326830211,0.04287936451679141
pythia_410m_zeroshot (Unmasked),attorney,0.03668927174210536,0.20214443393251336,0.007948823476973715
pythia_410m_zeroshot (Unmasked),psychologist,0.013718675036090009,0.024350649350649345,0.003776911857544027
pythia_410m_zeroshot (Unmasked),dentist,0.025686067915401803,0.0063131313131312705,0.0017292525866435134
pythia_410m_zeroshot (Unmasked),model,0.010989787466973395,0.22666666666666663,0.0010890318534818224
pythia_410m_zeroshot (Unmasked),software_engineer,0.013385949314781789,0.15501519756838905,0.005638099647011168
pythia_410m_zeroshot (Unmasked),surgeon,0.009873546337423236,0.01839080459770115,0.0011442426753602256
