profession,token,weighted_score_unmasked,weighted_score_masked,weighted_score_diff_masked_minus_unmasked,count_topk_unmasked,count_topk_masked,doc_freq_unmasked,doc_freq_masked,mean_attr_unmasked,mean_attr_masked
composer,musical,4.607006788253784,5.741536259651184,1.1345294713974,3.0,5.0,3.0,5.0,1.535668929417928,1.1483072519302369
composer,scores,2.8322200179100037,2.444535732269287,-0.38768428564071655,2.0,2.0,2.0,2.0,1.4161100089550018,1.2222678661346436
composer,composer,6.35932582616806,5.8250177800655365,-0.5343080461025238,4.0,4.0,4.0,4.0,1.589831456542015,1.456254445016384
composer,film,2.227890729904175,0.0,-2.227890729904175,3.0,0.0,3.0,0.0,0.7426302433013916,0.0
composer,composed,2.337497115135193,0.0,-2.337497115135193,3.0,0.0,3.0,0.0,0.7791657050450643,0.0
composer,scored,2.6282439827919006,0.0,-2.6282439827919006,3.0,0.0,3.0,0.0,0.8760813275973002,0.0
dentist,years,0.0,5.728451251983643,5.728451251983643,0.0,9.0,0.0,9.0,0.0,0.6364945835537381
dentist,indian,0.0,5.457494705915451,5.457494705915451,0.0,11.0,0.0,11.0,0.0,0.4961358823559501
dentist,oral,0.0,5.391652196645737,5.391652196645737,0.0,8.0,0.0,8.0,0.0,0.6739565245807171
dentist,dentist,28.94993269443512,32.24613571166992,3.2962030172348022,18.0,18.0,18.0,18.0,1.6083295941352844,1.7914519839816625
dentist,dentists,7.087469190359116,8.834581166505814,1.747111976146698,3.0,3.0,3.0,3.0,2.362489730119705,2.9448603888352713
dentist,specialties,4.970791548490524,6.388410344719887,1.4176187962293625,9.0,9.0,9.0,9.0,0.5523101720545027,0.709823371635543
dentist,licence,4.647979497909546,5.918139100074768,1.2701596021652222,4.0,4.0,4.0,4.0,1.1619948744773865,1.479534775018692
dentist,patients,8.745260238647461,9.890372097492218,1.145111858844757,14.0,14.0,14.0,13.0,0.6246614456176758,0.7064551498208728
dentist,dental,107.1982215344906,107.43910858035088,0.24088704586027632,121.0,121.0,68.0,71.0,0.8859357151610792,0.8879265171929824
dentist,practising,7.462057203054428,0.0,-7.462057203054428,8.0,0.0,8.0,0.0,0.9327571503818036,0.0
dentist,dentistry,48.82625135779381,41.09763431549072,-7.728617042303085,34.0,31.0,27.0,25.0,1.4360662164057003,1.325730139209378
dentist,clinic,9.624635100364683,0.0,-9.624635100364683,14.0,0.0,14.0,0.0,0.6874739357403347,0.0
dentist,bds,23.420134763233364,0.0,-23.420134763233364,38.0,0.0,38.0,0.0,0.6163193358745622,0.0
dietitian,food,0.0,4.060556858778,4.060556858778,0.0,7.0,0.0,7.0,0.0,0.580079551254
dietitian,doctors,0.0,2.847925841808319,2.847925841808319,0.0,8.0,0.0,8.0,0.0,0.3559907302260399
dietitian,diets,2.273654580116272,4.764841347932816,2.4911867678165445,3.0,4.0,2.0,3.0,0.7578848600387573,1.191210336983204
dietitian,dietitian,35.281776428222656,37.46460601687431,2.182829588651657,9.0,9.0,9.0,9.0,3.920197380913629,4.162734001874924
dietitian,diet,3.203660368919373,4.5779852867126465,1.3743249177932735,5.0,5.0,3.0,4.0,0.6407320737838745,0.9155970573425292
dietitian,registered,6.423711538314819,7.410091459751129,0.9863799214363098,9.0,9.0,9.0,9.0,0.7137457264794244,0.8233434955279032
dietitian,dietetic,2.4393265917897224,3.133307322859764,0.6939807310700417,2.0,2.0,2.0,2.0,1.2196632958948612,1.566653661429882
dietitian,nutritional,3.838927805423737,4.486705183982849,0.6477773785591121,4.0,5.0,4.0,5.0,0.959731951355934,0.8973410367965698
dietitian,digestive,3.1086499094963074,3.7131381034851074,0.6044881939888,2.0,2.0,2.0,2.0,1.5543249547481537,1.8565690517425537
dietitian,nutrition,37.726500898599625,35.71582391858101,-2.0106769800186157,33.0,37.0,22.0,24.0,1.1432272999575643,0.9652925383400272
dietitian,dietitians,2.4140049815177917,0.0,-2.4140049815177917,1.0,0.0,1.0,0.0,2.4140049815177917,0.0
dietitian,experiences,2.674280673265457,0.0,-2.674280673265457,8.0,0.0,8.0,0.0,0.3342850841581821,0.0
filmmaker,film,20.973286390304565,32.19862353801727,11.225337147712708,31.0,48.0,25.0,32.0,0.6765576254936957,0.6708046570420265
filmmaker,films,12.466936647891998,16.369214355945587,3.902277708053589,19.0,24.0,16.0,20.0,0.6561545604153683,0.6820505981643995
